region	ring	station	sector	layer	subsector	roll	nstrips_geom	nstrips_noise	eff_mean	eff_min	eff_max	n_dead	eta	phi	rawId
0	-2	4	7	1	1	1	48	48	0.762919	0.762919	0.762919	0	-0.625992	3.12981	637567853
0	-2	4	7	1	2	1	48	48	0.808318	0.808318	0.808318	0	-0.606445	-2.87594	637571949
0	-2	4	7	1	1	3	48	48	0.863061	0.863061	0.863061	0	-0.763857	3.12981	637633389
0	-2	4	7	1	2	3	48	48	0.919096	0.919096	0.919096	0	-0.741168	-2.87594	637637485
0	-2	4	8	1	2	1	36	36	0.945088	0.945088	0.945088	0	-0.611049	-2.38566	637572077
0	-2	4	8	1	1	1	48	48	0.97162	0.97162	0.97162	0	-0.625992	-2.62977	637567981
0	-2	4	8	1	2	3	36	36	0.972569	0.972569	0.972569	0	-0.746519	-2.38566	637637613
0	-2	4	8	1	1	3	48	48	0.975978	0.975978	0.975978	0	-0.763857	-2.62977	637633517
0	-2	4	9	1	1	1	48	48	0.58881	0.58881	0.58881	0	-0.624086	-2.08596	637568109
0	-2	4	9	1	1	3	48	48	0.957397	0.957397	0.957397	0	-0.761647	-2.08596	637633645
0	-2	4	10	1	1	1	60	60	0.930293	0.930293	0.930293	0	-0.616125	-1.7597	637568237
0	-2	4	10	1	1	3	60	60	0.978763	0.978763	0.978763	0	-0.752414	-1.7597	637633773
0	-2	4	10	1	2	1	60	60	0.965595	0.965595	0.965595	0	-0.616125	-1.38189	637572333
0	-2	4	10	1	2	3	60	60	0.981688	0.981688	0.981688	0	-0.752414	-1.38189	637637869
0	-2	4	11	1	1	1	48	48	0.969965	0.969965	0.969965	0	-0.624085	-1.05568	637568365
0	-2	4	11	1	1	3	48	48	0.95064	0.95064	0.95064	0	-0.761647	-1.05568	637633901
0	-2	4	12	1	1	1	36	36	0.95588	0.95588	0.95588	0	-0.611049	-0.755931	637568493
0	-2	4	12	1	2	1	48	48	0.959485	0.959485	0.959485	0	-0.625992	-0.511819	637572589
0	-2	4	12	1	1	3	36	36	0.966654	0.966654	0.966654	0	-0.746519	-0.755931	637634029
